,Shared_252d_MinVar_VolTarget_Sleeve,Shared_252d_EWMAMinVar_VolTarget_Sleeve,Shared_252d_MinVar_VolTarget_Sleeve_Cap,Shared_252d_Ensemble_50_50,Shared_252d_EWMAMinVar_VolTarget_Sleeve_Cap,Shared_252d_EWMA_Ensemble_50_50,Shared_252d_Cap_Ensemble_50_50,Shared_252d_EWMA_Cap_Ensemble_50_50
2009-06-30,-0.021227783975869344,-0.021286162692872507,-0.021227783975869344,-0.022204126227241373,-0.02128616269287251,-0.022233315585742954,-0.022204126227241373,-0.022233315585742958
2009-07-31,0.037247373661796104,0.039351429410670345,0.037247373661796104,0.0366056702871149,0.039351429410670345,0.037657698161552025,0.0366056702871149,0.037657698161552025
2009-08-31,0.0066854500144087675,0.006896473759459513,0.006352142767652488,0.006097912848607034,0.0066099672271172204,0.006203424721132406,0.005931259225228894,0.00606017145496126
2009-09-30,0.05215608699726313,0.05380703432049443,0.049996234000520084,0.05378863807831902,0.05174215614049148,0.05461411173993466,0.05270871157994749,0.05358167264993319
2009-10-30,0.005698675073084876,0.004937004689781056,0.010621200883993596,0.010144156142663488,0.01012855419469019,0.009763320951011577,0.012605419048117848,0.012359095703466145
2009-11-30,0.09776229529673403,0.10048050981464425,0.09432596175462814,0.0959386049348799,0.09518136204090567,0.09729771219383503,0.09422043816382697,0.09464813830696574
2009-12-31,0.011172965243422317,0.011062332218359967,0.008004434131910494,0.006464714427418208,0.008004434131910487,0.006409397914887033,0.004880448871662297,0.0048804488716622935
2010-01-29,-0.035592082401780044,-0.035532114375548055,-0.035592082401780044,-0.036795742664076175,-0.035532114375548055,-0.03676575865096018,-0.036795742664076175,-0.03676575865096018
2010-02-26,0.03438634270801923,0.03436499837976703,0.03438634270801923,0.031019272193366663,0.03436499837976703,0.031008600029240566,0.031019272193366663,0.031008600029240566
2010-03-31,0.0394274479362469,0.039377210237448286,0.0394274479362469,0.04004673587099165,0.039377210237448286,0.04002161702159234,0.04004673587099165,0.04002161702159234
2010-04-30,0.04836941445517515,0.04866079649261425,0.04836941445517515,0.04121912926812987,0.04866079649261425,0.04136482028684942,0.04121912926812987,0.04136482028684942
2010-05-31,0.01235710543467734,0.013768469106319728,0.010883589569355347,-0.007223929784364931,0.011804897307146666,-0.006518247948543737,-0.007960687717025927,-0.007500033848130268
2010-06-30,-0.02287667758194823,-0.022889898866146677,-0.02287667758194823,-0.019821872729612867,-0.022889898866146677,-0.01982848337171209,-0.019821872729612867,-0.01982848337171209
2010-07-30,-0.025573953332774797,-0.025569532644377658,-0.025573953332774797,-0.02531611836426955,-0.025569532644377658,-0.02531390802007098,-0.02531611836426955,-0.02531390802007098
2010-08-31,0.03417905287900774,0.03418701103672557,0.03417905287900776,0.03530837646861877,0.03418701103672557,0.035312355547477685,0.03530837646861878,0.035312355547477685
2010-09-30,0.017312793610906912,0.017322570944211864,0.017312793610906912,0.017795234460796304,0.017322570944211864,0.01780012312744878,0.017795234460796304,0.01780012312744878
2010-10-29,0.03318982140634284,0.032657941929847695,0.03318982140634284,0.032399004478861626,0.032657941929847695,0.032133064740614045,0.032399004478861626,0.032133064740614045
2010-11-30,0.009920615894729187,0.010670896972268024,0.009920615894729187,0.009368173435200994,0.010553010754310366,0.009743313973970411,0.009368173435200994,0.009684370864991583
2010-12-31,0.036254649919955265,0.03632275816119516,0.036254649919955265,0.033371229505389934,0.03632275816119516,0.03340528362600988,0.033371229505389934,0.03340528362600988
2011-01-31,-0.04456604943307121,-0.04469453585022335,-0.03890353165433344,-0.038057356037175104,-0.038899607569451905,-0.038121599245751175,-0.035226097147806223,-0.035224135105365456
2011-02-28,0.03801821970873844,0.03803077023130849,0.03801821970873844,0.037265981767777775,0.03803077023130849,0.0372722570290628,0.037265981767777775,0.0372722570290628
2011-03-31,0.009382677450736038,0.009384521324605504,0.009382677450736038,0.008719923500990968,0.009384521324605504,0.008720845437925702,0.008719923500990968,0.008720845437925702
2011-04-29,0.06616238545434054,0.06532152150009647,0.06264624163065896,0.06288102442639218,0.0627230754708233,0.06246059244927014,0.06112295251455138,0.06116136943463355
